Model,Train_R2,Train_MSE,MSE,RMSE,MAE,R2_Score,Overfitting_Detected
Decision Tree,0.99453139609682,5594.126166339426,24823.264125806552,157.55400383933932,115.02127985913451,0.9761900412554012,NO
Gradient Boosting,0.9958385378672249,4256.981236774282,11264.83888828913,106.13594531679233,81.09767577871213,0.9891950007929909,NO
Linear Regression,0.9909987903028828,9207.8167639953,9571.183252131375,97.83242433943552,75.91077973735698,0.9908195200592768,NO
Random Forest,0.9973606377716708,2699.944184174319,13290.33919647973,115.28373344266627,86.01831788380751,0.9872521830180694,NO
Ridge Regression,0.9909982149676959,9208.405304997825,9561.6759814741,97.78382269820555,75.8709110038067,0.9908286392355855,NO
Xgboost,0.995558104540005,4543.851421832201,11427.913286369401,106.90141854236266,81.44036922827965,0.9890385832215179,NO
